Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10,13.0,15.6,655.323307316454,26255780.57142857,525.3,1383.4971428571428
Optimal,3,41.0,49.199999999999996,196.5969921949362,82806692.57142857,1751.0,4363.337142857143
Balanced,7,18.0,21.599999999999998,458.7263151215179,36354157.71428571,750.4285714285713,1915.6114285714284
Frequent,5,25.0,30.0,327.661653658227,50491885.71428572,1050.6,2660.5714285714284
Cost_Efficient,12,11.0,13.2,786.3879687797448,22216429.714285713,437.75,1170.6514285714284
