Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10,19.0,22.8,1545.2236817056923,45036123.42857143,525.3,3001.7828571428577
Optimal,3,61.0,73.2,463.56710451170767,144589659.42857143,1751.0,9637.302857142859
Balanced,7,26.0,31.2,1081.6565771939845,61628379.42857143,750.4285714285713,4107.702857142857
Frequent,5,37.0,44.4,772.6118408528462,87701924.57142857,1050.6,5845.577142857143
Cost_Efficient,12,16.0,19.2,1854.2684180468307,37925156.571428575,437.75,2527.817142857143
