Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10,8.0,9.6,1062.1191971934406,13173174.857142858,525.3,412.5257142857143
Optimal,3,24.0,28.799999999999997,318.63575915803216,39519524.57142857,1751.0,1237.577142857143
Balanced,7,11.0,13.2,743.4834380354084,18113115.42857143,750.4285714285713,567.2228571428572
Frequent,5,15.0,18.0,531.0595985967203,24699702.85714286,1050.6,773.4857142857144
Cost_Efficient,12,6.0,7.199999999999999,1274.5430366321286,9879881.142857142,437.75,309.39428571428573
