,Avg_Monthly,Daily_Avg,Peak_Hour
CAWANG,132715.75,4423.858333333334,663.57875
CAWANG SENTRAL,123247.66666666667,4108.2555555555555,616.2383333333333
CILILITAN,105256.08333333333,3508.536111111111,526.2804166666666
KAMPUNG RAMBUTAN,78456.91666666667,2615.230555555556,392.2845833333334
FLYOVER RAYA BOGOR,77163.75,2572.125,385.81874999999997
TANAH MERDEKA,59164.833333333336,1972.1611111111113,295.82416666666666
CAWANG CILILITAN,58283.833333333336,1942.7944444444445,291.4191666666667
TRIKORA,34012.0,1133.7333333333333,170.06
KRAMAT JATI,25235.416666666668,841.1805555555555,126.17708333333333
CAWANG BARU,23161.083333333332,772.036111111111,115.80541666666664
