location,potential_monthly,priority_score,current_stop,next_stop
Between JUANDA - PECENONGAN,66697.09999999999,66697.09999999999,JUANDA,PECENONGAN
Between ISTIQLAL - JUANDA,55172.94999999999,55172.94999999999,ISTIQLAL,JUANDA
Between PULO GADUNG - BERMIS,52692.225,52692.225,PULO GADUNG,BERMIS
Between PECENONGAN - BALAI KOTA,41030.825000000004,41030.825000000004,PECENONGAN,BALAI KOTA
Between BALAI KOTA - GAMBIR 2,32462.85,32462.85,BALAI KOTA,GAMBIR 2
Between CEMPAKA MAS - SUMUR BATU,32001.625,32001.625,CEMPAKA MAS,SUMUR BATU
Between RAWA SELATAN - GALUR,22003.474999999995,22003.474999999995,RAWA SELATAN,GALUR
Between PEDONGKELAN - CEMPAKA MAS,21090.65,21090.65,PEDONGKELAN,CEMPAKA MAS
