location,potential_monthly,priority_score,current_stop,next_stop
Between PLUIT SELATAN - PAKIN,18636.375,18636.375,PLUIT SELATAN,PAKIN
Between BANDENGAN - KALI BESAR,15096.124999999998,15096.124999999998,BANDENGAN,KALI BESAR
Between MANGGA DUA RAYA - MANGGA DUA,13877.074999999999,13877.074999999999,MANGGA DUA RAYA,MANGGA DUA
Between MANGGA DUA - LANDASAN PACU,13706.15,13706.15,MANGGA DUA,LANDASAN PACU
Between LANDASAN PACU - DANAU AGUNG,12281.649999999998,12281.649999999998,LANDASAN PACU,DANAU AGUNG
Between DANAU AGUNG - SUNTER UTARA,12211.925,12211.925,DANAU AGUNG,SUNTER UTARA
Between PAKIN - GEDONG PANJANG,12130.35,12130.35,PAKIN,GEDONG PANJANG
Between KALI BESAR - MANGGA DUA RAYA,11048.874999999998,11048.874999999998,KALI BESAR,MANGGA DUA RAYA
