location,potential_monthly,priority_score,current_stop,next_stop
Between SALEMBA - PASEBAN,50373.375,50373.375,SALEMBA,PASEBAN
Between ANCOL - PADEMANGAN,47693.625,47693.625,ANCOL,PADEMANGAN
Between PASEBAN - MATRAMAN,44808.275,44808.275,PASEBAN,MATRAMAN
Between PAL PUTIH - KRAMAT SENTIONG,36233.65,36233.65,PAL PUTIH,KRAMAT SENTIONG
Between SENEN SENTRAL - PAL PUTIH,34436.174999999996,34436.174999999996,SENEN SENTRAL,PAL PUTIH
Between KESATRIAN - MATRAMAN BARU,32328.65,32328.65,KESATRIAN,MATRAMAN BARU
Between MATRAMAN BARU - BALI MESTER,29036.65,29036.65,MATRAMAN BARU,BALI MESTER
Between KRAMAT SENTIONG - SALEMBA,28147.025,28147.025,KRAMAT SENTIONG,SALEMBA
