Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10,16.0,19.2,974.4453962814899,36253988.571428575,525.3,2282.057142857143
Optimal,3,53.0,63.599999999999994,292.333618884447,120091337.14285713,1751.0,7559.314285714286
Balanced,7,23.0,27.599999999999998,682.111777397043,52115108.57142857,750.4285714285713,3280.4571428571426
Frequent,5,32.0,38.4,487.22269814074497,72507977.14285715,1050.6,4564.114285714286
Cost_Efficient,12,14.0,16.8,1169.334475537788,31722240.0,437.75,1996.8000000000002
