location,potential_monthly,priority_score,current_stop,next_stop
Between MANGGARAI - PASAR RUMPUT,36877.2,36877.2,MANGGARAI,PASAR RUMPUT
Between FLYOVER PRAMUKA - MANGGARAI,36474.125,36474.125,FLYOVER PRAMUKA,MANGGARAI
Between KAYU JATI - RAWAMANGUN,29004.575,29004.575,KAYU JATI,RAWAMANGUN
Between HALIMUN - GALUNGGUNG,25870.6,25870.6,HALIMUN,GALUNGGUNG
Between RAWAMANGUN - SIMPANG PRAMUKA,23908.149999999998,23908.149999999998,RAWAMANGUN,SIMPANG PRAMUKA
Between PEMUDA RW.MANGUN - VELODROME,20032.625,20032.625,PEMUDA RW.MANGUN,VELODROME
Between LAYUR - PEMUDA RW.MANGUN,19977.2,19977.2,LAYUR,PEMUDA RW.MANGUN
Between PASAR GENJING - FLYOVER PRAMUKA,16678.55,16678.55,PASAR GENJING,FLYOVER PRAMUKA
