,Avg_Monthly,Daily_Avg,Peak_Hour
"TANJUNG DUREN ARAH 
P.RANTI",171712.41666666666,5723.747222222222,858.5620833333334
LEBAK BULUS,116219.58333333333,3873.986111111111,581.0979166666666
"TANJUNG DUREN ARAH 
PLUIT",96468.33333333333,3215.611111111111,482.3416666666666
KEBAYORAN,73936.58333333333,2464.5527777777775,369.6829166666666
KEBON JERUK,58503.083333333336,1950.1027777777779,292.5154166666667
PONDOK INDAH,56967.666666666664,1898.9222222222222,284.8383333333333
TARAKAN,55877.833333333336,1862.5944444444444,279.38916666666665
DURI KEPA,49122.666666666664,1637.4222222222222,245.61333333333332
GROGOL REFORMASI,40194.583333333336,1339.8194444444446,200.9729166666667
KEDOYA,37689.083333333336,1256.302777777778,188.4454166666667
