Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10.0,7.0,8.4,43.971682847896446,11604864.0,525.3,372.48
Optimal,22.741908774770465,3.0,3.5999999999999996,100.0,4973513.142857143,230.98325,159.63428571428568
Balanced,15.919336142339324,4.0,4.8,70.0,6631350.857142857,329.97607142857146,212.84571428571428
Frequent,5.0,13.0,15.6,21.985841423948223,21551890.285714284,1050.6,691.7485714285714
Cost_Efficient,12.0,6.0,7.199999999999999,52.76601941747573,9947026.285714285,437.75,319.26857142857136
