,Avg_Monthly,Daily_Avg,Peak_Hour
PETUKANGAN JAKARTA,201977.58333333334,6732.586111111112,1009.8879166666667
PURI BETA 2,184134.08333333334,6137.802777777778,920.6704166666667
CSW,163785.0,5459.5,818.925
TEGAL MAMPANG,110579.08333333333,3685.9694444444444,552.8954166666666
VELBAK,97710.75,3257.025,488.55375
PURI BETA 1,79349.08333333333,2644.9694444444444,396.74541666666664
CBD CILEDUK,64534.42857142857,2151.147619047619,322.6721428571429
PASAR SANTA,40545.416666666664,1351.513888888889,202.72708333333333
MAYESTIK,36393.083333333336,1213.1027777777779,181.96541666666667
CIPULIR,32313.416666666668,1077.1138888888888,161.56708333333333
