,Avg_Monthly,Daily_Avg,Peak_Hour
ANCOL,135446.41666666666,4514.8805555555555,677.2320833333333
PASEBAN,122180.41666666667,4072.6805555555557,610.9020833333333
PAL PUTIH,72686.25,2422.875,363.43125
MATRAMAN BARU,68843.41666666667,2294.7805555555556,344.21708333333333
GUNUNG SAHARI,65365.666666666664,2178.8555555555554,326.8283333333333
KRAMAT SENTIONG,48092.583333333336,1603.0861111111112,240.46291666666667
SALEMBA,45730.833333333336,1524.361111111111,228.65416666666667
SENEN SENTRAL,42101.0,1403.3666666666666,210.50499999999997
KESATRIAN,38918.75,1297.2916666666667,194.59375
KAMPUNG MELAYU,35001.0,1166.7,175.005
