,Avg_Monthly,Daily_Avg,Peak_Hour
JUANDA,178532.16666666666,5951.072222222222,892.6608333333332
PULO GADUNG,159498.75,5316.625,797.49375
BALAI KOTA,92977.91666666667,3099.263888888889,464.88958333333335
CEMPAKA MAS,61211.75,2040.3916666666667,306.05875
SUMUR BATU,45460.333333333336,1515.3444444444444,227.30166666666665
PECENONGAN,43791.5,1459.7166666666667,218.9575
PULO MAS,40143.833333333336,1338.127777777778,200.7191666666667
GALUR,39907.166666666664,1330.2388888888888,199.53583333333333
PASAR SENEN,38685.583333333336,1289.5194444444446,193.42791666666668
RAWA SELATAN,33437.75,1114.5916666666667,167.18875
