location,potential_monthly,priority_score,current_stop,next_stop
Between FLYOVER JATINEGARA - STASIUN JATINEGARA,18484.3,18484.3,FLYOVER JATINEGARA,STASIUN JATINEGARA
Between PULO GEBANG - WALIKOTA JAKARTA TIMUR,17592.774999999998,17592.774999999998,PULO GEBANG,WALIKOTA JAKARTA TIMUR
Between FLYOVER PONDOK KOPI - SIMPANG BUARAN,16118.649999999998,16118.649999999998,FLYOVER PONDOK KOPI,SIMPANG BUARAN
Between WALIKOTA JAKARTA TIMUR - PENGGILINGAN,14611.45,14611.45,WALIKOTA JAKARTA TIMUR,PENGGILINGAN
Between STASIUN JATINEGARA - JATINEGARA,12852.85,12852.85,STASIUN JATINEGARA,JATINEGARA
Between PENGGILINGAN - FLYOVER PONDOK KOPI,12791.974999999999,12791.974999999999,PENGGILINGAN,FLYOVER PONDOK KOPI
Between PASAR ENJO - FLYOVER JATINEGARA,10387.300000000001,10387.300000000001,PASAR ENJO,FLYOVER JATINEGARA
Between SIMPANG BUARAN - BUARAN,8873.275,8873.275,SIMPANG BUARAN,BUARAN
