,Avg_Monthly,Daily_Avg,Peak_Hour
SUNTER KELAPA GADING,98949.75,3298.325,494.74875
PLUMPANG,93386.83333333333,3112.894444444444,466.9341666666666
PGC,91474.75,3049.1583333333333,457.37375
"WALIKOTA JAKARTA UTARA ARAH 
CILILITAN",57136.416666666664,1904.5472222222222,285.6820833333333
KAYU PUTIH RAWASARI,50191.083333333336,1673.0361111111113,250.95541666666668
MAMBO,45320.583333333336,1510.6861111111111,226.60291666666666
TERMINAL TJ.PRIUK,35168.75,1172.2916666666667,175.84375
KODAMAR,33854.166666666664,1128.4722222222222,169.27083333333331
UTAN KAYU RAWAMANGUN,31708.5,1056.95,158.5425
PULOMAS BYPASS,28038.0,934.6,140.19
