Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10,10.0,12.0,821.423075702773,17995885.714285716,525.3,740.5714285714286
Optimal,3,31.0,37.199999999999996,246.42692271083186,55787245.7142857,1751.0,2295.7714285714283
Balanced,7,14.0,16.8,574.9961529919411,25194240.0,750.4285714285713,1036.8
Frequent,5,19.0,22.8,410.7115378513865,34192182.85714286,1050.6,1407.0857142857144
Cost_Efficient,12,8.0,9.6,985.7076908433274,14396708.57142857,437.75,592.4571428571428
