location,potential_monthly,priority_score,current_stop,next_stop
Between CAWANG SENTRAL - CAWANG,76789.02500000001,76789.02500000001,CAWANG SENTRAL,CAWANG
Between CAWANG CILILITAN - CAWANG SENTRAL,54459.45,54459.45,CAWANG CILILITAN,CAWANG SENTRAL
Between CILILITAN - CAWANG CILILITAN,49061.975,49061.975,CILILITAN,CAWANG CILILITAN
Between CAWANG - CAWANG BARU,46763.05,46763.05,CAWANG,CAWANG BARU
Between KAMPUNG RAMBUTAN - TANAH MERDEKA,41286.525,41286.525,KAMPUNG RAMBUTAN,TANAH MERDEKA
Between TANAH MERDEKA - FLYOVER RAYA BOGOR,40898.575000000004,40898.575000000004,TANAH MERDEKA,FLYOVER RAYA BOGOR
Between KRAMAT JATI - CILILITAN,39147.45,39147.45,KRAMAT JATI,CILILITAN
Between FLYOVER RAYA BOGOR - TRIKORA,33352.725,33352.725,FLYOVER RAYA BOGOR,TRIKORA
