,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
TEGAL MAMPANG,128075,113594,122687,106917,109567,102825,117720,111927.0,101814.0,113680.0,101287.0,96856.0,110579.08333333333,128075.0,3685.9694444444444,552.8954166666666
RAWA BARAT,28626,25490,25847,21261,26585,25758,32276,34342.0,33663.0,39104.0,36789.0,35626.0,30447.25,39104.0,1014.9083333333333,152.23624999999998
PASAR SANTA,40509,34090,32131,26343,33509,32769,45966,49553.0,45673.0,52282.0,49489.0,44231.0,40545.416666666664,52282.0,1351.513888888889,202.72708333333333
CSW,146561,133033,138781,126338,152728,160333,183765,183407.0,177270.0,201336.0,184794.0,177074.0,163785.0,201336.0,5459.5,818.925
MAYESTIK,36444,33837,34015,28000,35107,32908,40894,41513.0,38253.0,40627.0,39557.0,35562.0,36393.083333333336,41513.0,1213.1027777777779,181.96541666666667
VELBAK,88076,80716,86699,75971,91195,92149,108328,108579.0,103796.0,118374.0,110756.0,107890.0,97710.75,118374.0,3257.025,488.55375
KEBAYORAN LAMA,21203,19627,20635,18332,21470,21857,24995,24463.0,23920.0,26505.0,25169.0,25371.0,22795.583333333332,26505.0,759.8527777777778,113.97791666666666
SESKOAL,23338,20760,20794,18275,23604,23365,27928,28608.0,27522.0,30394.0,28295.0,26496.0,24948.25,30394.0,831.6083333333333,124.74125
CIPULIR,31776,29718,33646,28506,32213,31635,34620,33464.0,31613.0,35019.0,31965.0,33586.0,32313.416666666668,35019.0,1077.1138888888888,161.56708333333333
SWADHARMA,12159,11031,11472,10716,12916,14987,16814,16873.0,16834.0,19624.0,17982.0,17175.0,14881.916666666666,19624.0,496.06388888888887,74.40958333333333
JORR,10539,9687,9756,8591,11117,11117,12675,12828.0,12508.0,14088.0,12615.0,12089.0,11467.5,14088.0,382.25,57.3375
PETUKANGAN JAKARTA,187263,170473,182607,164737,196196,199400,223773,221981.0,216450.0,236705.0,212574.0,211572.0,201977.58333333334,236705.0,6732.586111111112,1009.8879166666667
PURI BETA 1,61361,54497,56946,52371,55552,60282,92997,105451.0,102041.0,111454.0,99586.0,99651.0,79349.08333333333,111454.0,2644.9694444444444,396.74541666666664
PURI BETA 2,176901,156036,160081,152010,175507,175079,207969,207545.0,204010.0,216613.0,183250.0,194608.0,184134.08333333334,216613.0,6137.802777777778,920.6704166666667
CBD CILEDUK,72282,64050,67495,65326,73187,75419,33982,,,,,,64534.42857142857,75419.0,2151.147619047619,322.6721428571429
