location,potential_monthly,priority_score,current_stop,next_stop
Between RAGUNAN - SIMPANG RAGUNAN,61418.174999999996,61418.174999999996,RAGUNAN,SIMPANG RAGUNAN
Between KUNINGAN - RASUNA SAID,48577.85,48577.85,KUNINGAN,RASUNA SAID
Between RASUNA SAID - KARET KUNINGAN,39465.375,39465.375,RASUNA SAID,KARET KUNINGAN
Between PATRA KUNINGAN - KUNINGAN,37880.924999999996,37880.924999999996,PATRA KUNINGAN,KUNINGAN
Between DUREN TIGA - MAMPANG PRAPATAN,36172.875,36172.875,DUREN TIGA,MAMPANG PRAPATAN
Between KARET KUNINGAN - KUNINGAN MADYA,25695.499999999996,25695.499999999996,KARET KUNINGAN,KUNINGAN MADYA
Between WARUNG BUNCIT - DUREN TIGA,23738.874999999996,23738.874999999996,WARUNG BUNCIT,DUREN TIGA
Between KUNINGAN MADYA - SETIABUDI,23570.7,23570.7,KUNINGAN MADYA,SETIABUDI
