location,potential_monthly,priority_score,current_stop,next_stop
Between KALIDERES - PESAKIH,65384.425,65384.425,KALIDERES,PESAKIH
Between JELAMBAR - GROGOL,53143.424999999996,53143.424999999996,JELAMBAR,GROGOL
Between DAMAI - JELAMBAR,47271.6,47271.6,DAMAI,JELAMBAR
Between GROGOL - ROXY,43161.525,43161.525,GROGOL,ROXY
Between SUMUR BOR - RAWA BUAYA,40801.424999999996,40801.424999999996,SUMUR BOR,RAWA BUAYA
Between ROXY - PASAR BARU,39776.74999999999,39776.74999999999,ROXY,PASAR BARU
Between RAWA BUAYA - JEMBATAN BARU,39151.24999999999,39151.24999999999,RAWA BUAYA,JEMBATAN BARU
Between JEMBATAN GANTUNG - TAMAN KOTA,30613.099999999995,30613.099999999995,JEMBATAN GANTUNG,TAMAN KOTA
