Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10,11.0,13.2,1654.9189352116255,19549275.42857143,525.3,778.4228571428572
Optimal,3,34.0,40.8,496.4756805634876,60425033.14285714,1751.0,2406.0342857142855
Balanced,7,15.0,18.0,1158.4432546481378,26658102.85714286,750.4285714285713,1061.4857142857143
Frequent,5,21.0,25.2,827.4594676058127,37321344.0,1050.6,1486.0800000000002
Cost_Efficient,12,9.0,10.799999999999999,1985.9027222539503,15994861.714285713,437.75,636.8914285714285
