Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10,9.0,10.799999999999999,745.5298559553273,15961289.142857142,525.3,631.9542857142857
Optimal,3,29.0,34.8,223.65895678659817,51430820.571428575,1751.0,2036.297142857143
Balanced,7,13.0,15.6,521.8708991687291,23055195.42857143,750.4285714285713,912.8228571428572
Frequent,5,18.0,21.599999999999998,372.76492797766366,31922578.285714284,1050.6,1263.9085714285713
Cost_Efficient,12,8.0,9.6,894.6358271463927,14187812.57142857,437.75,561.7371428571429
