,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
SUNTER KELAPA GADING,93909,88216,94027,92704,100738,99605,103957,100338,100540,110357,100913,102093,98949.75,110357,3298.325,494.74875
SIMPANG CAWANG,16008,13879,14200,11840,14587,13991,16013,15743,14397,15735,14085,13803,14523.416666666666,16013,484.1138888888889,72.61708333333333
HALIM,21475,19625,20484,15545,17847,17415,19173,18826,18434,20098,18056,17664,18720.166666666668,21475,624.0055555555556,93.60083333333334
KEBON NANAS,18330,13685,17347,14944,19409,19004,20903,18807,19224,22951,20807,19516,18743.916666666668,22951,624.7972222222222,93.71958333333333
PEDATI PRUMPUNG,18732,17165,17801,15931,17787,17583,21089,21993,21226,23443,21630,21596,19664.666666666668,23443,655.4888888888889,98.32333333333334
PISANGAN,27496,24490,25486,21602,26592,25844,28790,29139,28645,30118,27616,27111,26910.75,30118,897.025,134.55374999999998
UTAN KAYU RAWAMANGUN,25186,29061,28784,24544,31750,29315,30890,36154,38632,38884,33642,33660,31708.5,38884,1056.95,158.5425
KAYU PUTIH RAWASARI,50968,43611,45919,40675,47704,46630,51687,52666,54207,59487,54439,54300,50191.083333333336,59487,1673.0361111111113,250.95541666666668
PULOMAS BYPASS,26853,23698,25702,21194,27520,25795,29394,28199,29970,35084,32899,30148,28038.0,35084,934.6,140.19
CEMPAKA PUTIH,13565,12793,13283,11221,14023,13585,15237,15398,16021,18228,16258,15461,14589.416666666666,18228,486.31388888888887,72.94708333333332
KODAMAR,35510,31864,31380,27009,33434,31216,36472,36418,35055,38632,35956,33304,33854.166666666664,38632,1128.4722222222222,169.27083333333331
PLUMPANG,92611,88883,94884,75623,88901,84618,98086,101105,94638,105320,98733,97240,93386.83333333333,105320,3112.894444444444,466.9341666666666
"WALIKOTA JAKARTA UTARA ARAH 
CILILITAN",57615,52780,54394,49665,55957,55188,59942,58001,58126,64322,59302,60345,57136.416666666664,64322,1904.5472222222222,285.6820833333333
"WALIKOTA JAKARTA UTARA ARAH 
TJ.PRIUK",9134,8209,8287,6991,8740,8704,10227,10373,9773,11210,9839,9820,9275.583333333334,11210,309.18611111111113,46.37791666666667
KOJA,804,677,668,619,679,754,905,935,880,1050,964,976,825.9166666666666,1050,27.530555555555555,4.129583333333333
MAMBO,45572,41299,44503,40518,46167,44344,47083,45047,45736,50422,45979,47177,45320.583333333336,50422,1510.6861111111111,226.60291666666666
TERMINAL TJ.PRIUK,36048,32752,34573,31121,34106,33964,37424,36125,35612,38302,35335,36663,35168.75,38302,1172.2916666666667,175.84375
PGC,87758,79863,81708,83766,88315,90345,96923,93331,93018,105006,97496,100168,91474.75,105006,3049.1583333333333,457.37375
