,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
KALI BESAR,26324.0,22043.0,23203,20018,24867,24605,26943,26280,25816,27878.0,27030.0,28945.0,25329.333333333332,28945.0,844.311111111111,126.64666666666665
MANGGA DUA RAYA,11850.0,10462.0,11024,8995,11399,10962,12608,12257,11791,12829.0,11782.0,12044.0,11500.25,12829.0,383.34166666666664,57.50124999999999
MANGGA DUA,36440.0,31853.0,27144,32899,35386,43496,39963,34564,32965,32610.0,30478.0,39282.0,34756.666666666664,43496.0,1158.5555555555554,173.7833333333333
LANDASAN PACU,10121.0,8928.0,9966,8654,10860,10704,11805,11908,11747,12803.0,11920.0,11750.0,10930.5,12803.0,364.35,54.6525
DANAU AGUNG,34098.0,28184.0,25361,26927,29986,32177,32190,30325,29106,31008.0,28040.0,32698.0,30008.333333333332,34098.0,1000.2777777777777,150.04166666666666
SUNTER UTARA,10670.0,10071.0,10169,8916,10900,10701,11741,11578,10779,11541.0,10551.0,10760.0,10698.083333333334,11741.0,356.6027777777778,53.49041666666667
SUNTER KARYA,11010.0,10566.0,10474,9532,12332,11836,12961,11758,11775,13249.0,11829.0,12564.0,11657.166666666666,13249.0,388.5722222222222,58.28583333333333
SUNTER BOULEVARD BARAT,24347.0,20522.0,21539,19420,22180,21697,24545,24771,23442,25722.0,23140.0,23670.0,22916.25,25722.0,763.875,114.58125
PRJ,,,1,1,371,40306,36398,8,31,,,,11016.57142857143,40306.0,367.21904761904767,55.08285714285715
,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
TEGAL MAMPANG,128075,113594,122687,106917,109567,102825,117720,111927.0,101814.0,113680.0,101287.0,96856.0,110579.08333333333,128075.0,3685.9694444444444,552.8954166666666
RAWA BARAT,28626,25490,25847,21261,26585,25758,32276,34342.0,33663.0,39104.0,36789.0,35626.0,30447.25,39104.0,1014.9083333333333,152.23624999999998
PASAR SANTA,40509,34090,32131,26343,33509,32769,45966,49553.0,45673.0,52282.0,49489.0,44231.0,40545.416666666664,52282.0,1351.513888888889,202.72708333333333
CSW,146561,133033,138781,126338,152728,160333,183765,183407.0,177270.0,201336.0,184794.0,177074.0,163785.0,201336.0,5459.5,818.925
MAYESTIK,36444,33837,34015,28000,35107,32908,40894,41513.0,38253.0,40627.0,39557.0,35562.0,36393.083333333336,41513.0,1213.1027777777779,181.96541666666667
VELBAK,88076,80716,86699,75971,91195,92149,108328,108579.0,103796.0,118374.0,110756.0,107890.0,97710.75,118374.0,3257.025,488.55375
KEBAYORAN LAMA,21203,19627,20635,18332,21470,21857,24995,24463.0,23920.0,26505.0,25169.0,25371.0,22795.583333333332,26505.0,759.8527777777778,113.97791666666666
SESKOAL,23338,20760,20794,18275,23604,23365,27928,28608.0,27522.0,30394.0,28295.0,26496.0,24948.25,30394.0,831.6083333333333,124.74125
CIPULIR,31776,29718,33646,28506,32213,31635,34620,33464.0,31613.0,35019.0,31965.0,33586.0,32313.416666666668,35019.0,1077.1138888888888,161.56708333333333
SWADHARMA,12159,11031,11472,10716,12916,14987,16814,16873.0,16834.0,19624.0,17982.0,17175.0,14881.916666666666,19624.0,496.06388888888887,74.40958333333333
JORR,10539,9687,9756,8591,11117,11117,12675,12828.0,12508.0,14088.0,12615.0,12089.0,11467.5,14088.0,382.25,57.3375
PETUKANGAN JAKARTA,187263,170473,182607,164737,196196,199400,223773,221981.0,216450.0,236705.0,212574.0,211572.0,201977.58333333334,236705.0,6732.586111111112,1009.8879166666667
PURI BETA 1,61361,54497,56946,52371,55552,60282,92997,105451.0,102041.0,111454.0,99586.0,99651.0,79349.08333333333,111454.0,2644.9694444444444,396.74541666666664
PURI BETA 2,176901,156036,160081,152010,175507,175079,207969,207545.0,204010.0,216613.0,183250.0,194608.0,184134.08333333334,216613.0,6137.802777777778,920.6704166666667
CBD CILEDUK,72282,64050,67495,65326,73187,75419,33982,,,,,,64534.42857142857,75419.0,2151.147619047619,322.6721428571429
,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
TANAH TINGGI,3380.0,4526.0,4979.0,5231.0,6778.0,7107.0,7967.0,8476,8700,10201,9604,9897,7237.166666666667,10201.0,241.2388888888889,36.185833333333335
KEMAYORAN,2831.0,4071.0,4783.0,4437.0,5810.0,5950.0,7300.0,7800,7506,9215,9509,9502,6559.5,9509.0,218.65,32.7975
DANAU SUNTER,12200.0,13166.0,12656.0,10997.0,14352.0,14411.0,17131.0,17509,16891,19182,18573,18624,15474.333333333334,19182.0,515.8111111111111,77.37166666666667
JEMBATAN ITEM,9579.0,9205.0,10179.0,9716.0,11877.0,12201.0,13502.0,14301,14381,16256,15414,17268,12823.25,17268.0,427.44166666666666,64.11625
PRJ,,,,,,,,931,3034,2348,4117,10082,4102.4,10082.0,136.74666666666664,20.511999999999997
,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
BLOK M,123540.0,110189.0,108999.0,110606.0,130527.0,129018.0,138020.0,131816.0,129041.0,134175.0,128438.0,139525.0,126157.83333333333,139525.0,4205.261111111111,630.7891666666666
MASJID AGUNG,42881.0,33257.0,38600.0,28312.0,40796.0,36782.0,39727.0,35589.0,30556.0,38757.0,34578.0,33255.0,36090.833333333336,42881.0,1203.0277777777778,180.45416666666668
BUNDARAN SENAYAN,99055.0,88622.0,91420.0,81694.0,103004.0,104924.0,130431.0,145639.0,157935.0,171705.0,164910.0,163207.0,125212.16666666667,171705.0,4173.738888888889,626.0608333333333
GELORA BUNG KARNO,202051.0,185097.0,170657.0,158544.0,233412.0,228607.0,221730.0,200305.0,182811.0,177280.0,179140.0,178745.0,193198.25,233412.0,6439.941666666667,965.9912499999999
POLDA METRO JAYA,57775.0,52460.0,48282.0,44377.0,61301.0,58520.0,61678.0,60359.0,60730.0,57523.0,55817.0,58956.0,56481.5,61678.0,1882.7166666666667,282.40749999999997
BENDUNGAN HILIR,31868.0,28901.0,29798.0,24714.0,30361.0,29668.0,43191.0,58028.0,67381.0,70648.0,67973.0,65576.0,45675.583333333336,70648.0,1522.5194444444446,228.3779166666667
