location,potential_monthly,priority_score,current_stop,next_stop
Between PETUKANGAN JAKARTA - PURI BETA 1,84398.0,84398.0,PETUKANGAN JAKARTA,PURI BETA 1
Between PURI BETA 1 - PURI BETA 2,79044.95,79044.95,PURI BETA 1,PURI BETA 2
Between PURI BETA 2 - CBD CILEDUK,74600.55357142858,74600.55357142858,PURI BETA 2,CBD CILEDUK
Between JORR - PETUKANGAN JAKARTA,64033.525,64033.525,JORR,PETUKANGAN JAKARTA
Between PASAR SANTA - CSW,61299.12499999999,61299.12499999999,PASAR SANTA,CSW
Between CSW - MAYESTIK,60053.425,60053.425,CSW,MAYESTIK
Between TEGAL MAMPANG - RAWA BARAT,42307.899999999994,42307.899999999994,TEGAL MAMPANG,RAWA BARAT
Between MAYESTIK - VELBAK,40231.15,40231.15,MAYESTIK,VELBAK
