,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
TERMINAL PULOGADUNG,26071,24055,7472,,,,,,,,,,19199.333333333332,26071.0,639.9777777777778,95.99666666666666
PASAR PULO GADUNG,19326,16847,17147,14715.0,17386.0,15964.0,16804.0,14724.0,14110.0,14967.0,13546.0,13527.0,15755.25,19326.0,525.175,78.77624999999999
PEMUDA MERDEKA,11215,9668,9242,7711.0,9028.0,8577.0,9273.0,8245.0,8272.0,9049.0,8288.0,8048.0,8884.666666666666,11215.0,296.1555555555555,44.423333333333325
LAYUR,16719,15058,15404,13029.0,15082.0,14015.0,15248.0,14001.0,12958.0,13948.0,12812.0,13004.0,14273.166666666666,16719.0,475.7722222222222,71.36583333333333
PEMUDA RW.MANGUN,60956,55252,55189,49257.0,52939.0,52875.0,54536.0,53486.0,47788.0,50630.0,46679.0,48223.0,52317.5,60956.0,1743.9166666666667,261.5875
VELODROME,13422,13771,13354,11437.0,15358.0,15020.0,8171.0,9373.0,17816.0,26162.0,16001.0,13610.0,14457.916666666666,26162.0,481.93055555555554,72.28958333333333
KAYU JATI,36288,32391,32758,27170.0,31946.0,28917.0,31281.0,21742.0,13760.0,33671.0,26148.0,25435.0,28458.916666666668,36288.0,948.6305555555556,142.29458333333332
RAWAMANGUN,49400,72637,65186,50319.0,73452.0,58087.0,53725.0,71873.0,95470.0,94949.0,72913.0,60665.0,68223.0,95470.0,2274.1,341.11499999999995
SIMPANG PRAMUKA,12931,10763,10962,9519.0,10935.0,10005.0,11793.0,11812.0,11305.0,11529.0,10543.0,15553.0,11470.833333333334,15553.0,382.36111111111114,57.35416666666667
PRAMUKA SARI,19378,16536,16003,13639.0,16177.0,15505.0,19470.0,18855.0,17318.0,17807.0,16361.0,15667.0,16893.0,19470.0,563.1,84.465
UTAN KAYU,12059,11259,11330,9762.0,11809.0,11274.0,12787.0,13013.0,12629.0,12885.0,12267.0,11814.0,11907.333333333334,13013.0,396.91111111111115,59.53666666666667
PASAR GENJING,32587,29456,27856,24833.0,29143.0,28386.0,32710.0,30993.0,30118.0,32138.0,30710.0,30551.0,29956.75,32710.0,998.5583333333333,149.78375
FLYOVER PRAMUKA,29027,25483,25553,21877.0,25863.0,24360.0,27507.0,27112.0,25467.0,27229.0,24425.0,23758.0,25638.416666666668,29027.0,854.6138888888889,128.19208333333333
MANGGARAI,93524,92647,92498,78225.0,92984.0,87981.0,95211.0,92879.0,107285.0,116274.0,103765.0,98031.0,95942.0,116274.0,3198.0666666666666,479.71
PASAR RUMPUT,27100,25478,25585,22723.0,25823.0,25051.0,27447.0,26726.0,28009.0,30824.0,28094.0,30924.0,26982.0,30924.0,899.4,134.91
HALIMUN,17688,20290,23062,17337.0,21750.0,18831.0,23020.0,23264.0,26763.0,29122.0,25243.0,23269.0,22469.916666666668,29122.0,748.9972222222223,112.34958333333334
GALUNGGUNG,66560,57488,54964,51932.0,61011.0,63364.0,68670.0,66116.0,66620.0,75111.0,63275.0,70074.0,63765.416666666664,75111.0,2125.5138888888887,318.8270833333333
