location,potential_monthly,priority_score,current_stop,next_stop
Between PINANG RANTI - MAKASAR,72853.85,72853.85,PINANG RANTI,MAKASAR
Between CIKOKO ARAH P.RANTI - CIKOKO ARAH PLUIT,60970.625,60970.625,CIKOKO ARAH P.RANTI,CIKOKO ARAH PLUIT
"Between PERTAMBURAN - KEMANGGISAN ARAH 
P.RANTI",54081.24999999999,54081.24999999999,PERTAMBURAN,"KEMANGGISAN ARAH 
P.RANTI"
Between SENAYAN ARAH PLUIT - PERTAMBURAN,50302.1,50302.1,SENAYAN ARAH PLUIT,PERTAMBURAN
Between PENJARINGAN - PLUIT,48192.1,48192.1,PENJARINGAN,PLUIT
Between CILIWUNG ARAH PLUIT - CIKOKO ARAH P.RANTI,38791.575,38791.575,CILIWUNG ARAH PLUIT,CIKOKO ARAH P.RANTI
Between DENPASAR ARAH P.RANTI - DENPASAR ARAH PLUIT,34461.799999999996,34461.799999999996,DENPASAR ARAH P.RANTI,DENPASAR ARAH PLUIT
Between JEMBATAN TIGA - PENJARINGAN,33849.7,33849.7,JEMBATAN TIGA,PENJARINGAN
