Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10.0,8.0,9.6,244.3781331302748,13770020.57142857,525.3,500.29714285714283
Optimal,4.092019147502503,20.0,24.0,100.00000000000003,34425051.42857143,1283.718333333333,1250.7428571428572
Balanced,7.0,12.0,14.399999999999999,171.06469319119236,20655030.857142854,750.4285714285713,750.4457142857142
Frequent,5.0,16.0,19.2,122.1890665651374,27540041.14285714,1050.6,1000.5942857142857
Cost_Efficient,12.0,7.0,8.4,293.2537597563297,12048768.0,437.75,437.76
