location,potential_monthly,priority_score,current_stop,next_stop
"Between PLUMPANG - WALIKOTA JAKARTA UTARA ARAH 
CILILITAN",45156.975,45156.975,PLUMPANG,"WALIKOTA JAKARTA UTARA ARAH 
CILILITAN"
Between KODAMAR - PLUMPANG,38172.299999999996,38172.299999999996,KODAMAR,PLUMPANG
Between TERMINAL TJ.PRIUK - PGC,37993.049999999996,37993.049999999996,TERMINAL TJ.PRIUK,PGC
Between SUNTER KELAPA GADING - SIMPANG CAWANG,34041.95,34041.95,SUNTER KELAPA GADING,SIMPANG CAWANG
Between UTAN KAYU RAWAMANGUN - KAYU PUTIH RAWASARI,24569.875000000004,24569.875000000004,UTAN KAYU RAWAMANGUN,KAYU PUTIH RAWASARI
Between MAMBO - TERMINAL TJ.PRIUK,24146.800000000003,24146.800000000003,MAMBO,TERMINAL TJ.PRIUK
Between KAYU PUTIH RAWASARI - PULOMAS BYPASS,23468.725000000002,23468.725000000002,KAYU PUTIH RAWASARI,PULOMAS BYPASS
"Between WALIKOTA JAKARTA UTARA ARAH 
CILILITAN - WALIKOTA JAKARTA UTARA ARAH 
TJ.PRIUK",19923.6,19923.6,"WALIKOTA JAKARTA UTARA ARAH 
CILILITAN","WALIKOTA JAKARTA UTARA ARAH 
TJ.PRIUK"
