,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
LEBAK BULUS,109011,98377,106144,97625,114656,116926,125184,122029,122751,137705,126859,117368,116219.58333333333,137705,3873.986111111111,581.0979166666666
PONDOK PINANG,33280,29317,30391,27470,32358,29843,33083,32386,31754,34237,31673,32938,31560.833333333332,34237,1052.0277777777778,157.80416666666667
UNDERPASS LEBAK BULUS,22570,19937,20883,17467,21205,20601,23741,23645,22961,25485,23642,23389,22127.166666666668,25485,737.5722222222223,110.63583333333334
PONDOK INDAH,56520,51994,57329,53450,56345,57251,58344,59124,56100,58223,58240,60692,56967.666666666664,60692,1898.9222222222222,284.8383333333333
TANAH KUSIR,18501,16936,17731,15177,18200,17714,19590,18947,18313,20860,19128,19315,18367.666666666668,20860,612.2555555555556,91.83833333333334
BUNGUR,15040,13474,14407,12738,14943,14229,15849,16272,15509,16705,15702,15826,15057.833333333334,16705,501.9277777777778,75.28916666666667
KEBAYORAN,70052,64107,70212,60328,71972,70443,80365,80445,77082,84194,79208,78831,73936.58333333333,84194,2464.5527777777775,369.6829166666666
SIMPRUG,7955,6515,7637,5998,7899,7326,7742,7805,8171,9388,8525,7724,7723.75,9388,257.4583333333333,38.61875
PERMATA HIJAU,25244,22272,23979,20077,24515,24714,27415,28270,26418,28778,26782,26294,25396.5,28778,846.55,126.98249999999999
ARTERI,19779,17592,19442,16150,19362,18779,20517,19900,19656,21782,19044,19335,19278.166666666668,21782,642.6055555555556,96.39083333333333
POS PENGUMBEN,11889,10725,11370,9957,11791,11508,12282,12431,11963,13017,11763,12213,11742.416666666666,13017,391.4138888888889,58.71208333333333
KELAPA DUA SASAK,30820,28124,29485,25104,31064,30632,34196,33093,33869,37695,34340,34354,31898.0,37695,1063.2666666666667,159.48999999999998
KEBON JERUK,55480,54457,56810,49450,58256,58996,64622,62182,59515,65586,58987,57696,58503.083333333336,65586,1950.1027777777779,292.5154166666667
DURI KEPA,49897,43285,46293,39320,48121,47783,54021,51560,51283,56414,50633,50862,49122.666666666664,56414,1637.4222222222222,245.61333333333332
KEDOYA PANJANG,17349,15540,16391,13922,17574,16818,18235,18796,17985,19382,18250,16836,17256.5,19382,575.2166666666667,86.2825
KEDOYA,37691,34434,36344,31739,37671,36493,40178,38974,38506,43067,38254,38918,37689.083333333336,43067,1256.302777777778,188.4454166666667
GROGOL REFORMASI,1,5,11,20852,38382,40735,43663,58540,70740,77200,71807,60399,40194.583333333336,77200,1339.8194444444446,200.9729166666667
"TANJUNG DUREN ARAH 
P.RANTI",166319,152009,164023,141138,166495,162033,177671,180112,178265,185758,183856,202870,171712.41666666666,202870,5723.747222222222,858.5620833333334
"TANJUNG DUREN ARAH 
PLUIT",95942,92534,95473,80604,94938,87739,90117,93126,98838,105140,104948,118221,96468.33333333333,118221,3215.611111111111,482.3416666666666
TOMANG RAYA,27748,24963,26628,24349,29046,28558,33804,33263,31484,34920,33373,32687,30068.583333333332,34920,1002.286111111111,150.34291666666664
PETOJO,37528,30715,33141,28727,34536,34075,40718,44622,37571,41328,38556,37480,36583.083333333336,44622,1219.4361111111111,182.91541666666666
TARAKAN,53958,47226,48956,43515,52101,51201,61079,63597,59129,69592,61159,59021,55877.833333333336,69592,1862.5944444444444,279.38916666666665
