Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10,9.0,10.799999999999999,501.2330255726885,15642349.714285713,525.3,585.0514285714285
Optimal,3,28.0,33.6,150.36990767180654,48665088.0,1751.0,1820.16
Balanced,7,12.0,14.399999999999999,350.863117900882,20856466.285714284,750.4285714285713,780.0685714285713
Frequent,5,17.0,20.4,250.61651278634426,29546660.57142857,1050.6,1105.0971428571427
Cost_Efficient,12,7.0,8.4,601.4796306872262,12166272.0,437.75,455.04
