,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
RAGUNAN,168091,150383,132894,166810,167481,176179,188544,168832,170378,183825,166761,185859,168836.41666666666,188544,5627.8805555555555,844.1820833333333
SIMPANG RAGUNAN,36896,32256,32774,29106,36221,29329,43164,38039,35593,42276,37089,37947,35890.833333333336,43164,1196.361111111111,179.45416666666665
JATI BARAT,39617,35437,34983,29972,38308,40874,43566,43799,41561,46260,42882,41023,39856.833333333336,46260,1328.5611111111111,199.28416666666666
JATI PADANG,29860,27014,27748,24339,30331,31059,35166,35281,33275,35690,33458,33246,31372.25,35690,1045.7416666666666,156.86124999999998
PEJATEN,32630,30483,29100,24870,32960,27181,31488,34780,36068,39576,35960,33703,32399.916666666668,39576,1079.9972222222223,161.99958333333333
BUNCIT INDAH,28833,26111,26855,23384,29030,28815,33946,34750,33153,36010,32758,31751,30449.666666666668,36010,1014.9888888888889,152.24833333333333
WARUNG JATI,34255,31080,31799,26831,33178,32305,38489,37595,35725,40027,37134,36219,34553.083333333336,40027,1151.7694444444446,172.76541666666668
WARUNG BUNCIT,23588,21232,20525,17668,21424,19966,24459,23924,22263,24001,23316,23429,22149.583333333332,24459,738.3194444444445,110.74791666666667
DUREN TIGA,56207,51349,52525,44651,55587,52294,61257,62363,59445,66220,60832,61030,56980.0,66220,1899.3333333333333,284.9
MAMPANG PRAPATAN,64912,58305,59888,52282,62329,59813,69356,68742,65485,70536,65692,65815,63596.25,70536,2119.875,317.98125
UNDERPASS KUNINGAN,13427,11596,12036,10025,11711,11476,14429,13847,12770,13331,13289,12211,12512.333333333334,14429,417.0777777777778,62.56166666666667
PATRA KUNINGAN,51861,44946,45010,38542,46420,45613,56266,54813,52106,57844,51247,48686,49446.166666666664,57844,1648.2055555555555,247.23083333333332
KUNINGAN,68439,63834,68697,60797,71565,71184,86505,85986,81757,93682,85518,83919,76823.58333333333,93682,2560.786111111111,384.11791666666664
RASUNA SAID,75839,68908,72984,63816,79364,81269,94933,91892,93743,105963,96510,96010,85102.58333333333,105963,2836.7527777777777,425.5129166666666
KARET KUNINGAN,43295,40149,40523,35066,43471,43395,50726,50918,52295,57386,51569,48591,46448.666666666664,57386,1548.2888888888888,232.2433333333333
KUNINGAN MADYA,40009,35932,36536,30550,36333,34167,43675,42180,40586,46811,42807,40850,39203.0,46811,1306.7666666666667,196.015
SETIABUDI,35242,31770,32506,28510,34671,36349,44434,44605,43522,49252,45222,46309,39366.0,49252,1312.2,196.83
FLYOVER KUNINGAN,4657,4210,4494,3789,4976,5399,6685,6928,6596,7895,7017,6802,5787.333333333333,7895,192.9111111111111,28.936666666666664
