Scenario,headway,fleet_size,total_fleet,utilization,daily_cost,hourly_capacity,fuel_liters
Current,10.0,14.0,16.8,267.0277981742859,30573312.0,525.3,1827.84
Optimal,3.7449284562774685,37.0,44.4,100.0,80800896.0,1402.697023809524,4830.719999999999
Balanced,7.0,20.0,24.0,186.91945872200014,43676160.0,750.4285714285713,2611.2
Frequent,5.0,28.0,33.6,133.51389908714296,61146624.0,1050.6,3655.68
Cost_Efficient,12.0,12.0,14.399999999999999,320.4333578091431,26205695.999999996,437.75,1566.7199999999998
